"sample","mean_dist","z","outlier","dataset","n_probes","n_samples","PC1","PC2"
"Control1",121.888343433662,2.88558900567188,TRUE,"GSE277906",19216,40,-35.5116802502445,15.601155555188
"Control10",147.309249025982,4.62038078034367,TRUE,"GSE277906",19216,40,-51.4135006403264,-23.2145968024195
"Control11",74.6242842224197,-0.339839012991569,FALSE,"GSE277906",19216,40,-0.196090063068939,-0.727058853248877
"Control12",72.5887626363495,-0.478748545221151,FALSE,"GSE277906",19216,40,6.93859673422829,-6.92530481946238
"Control13",72.3379618483312,-0.495863873491235,FALSE,"GSE277906",19216,40,-2.61396673631935,5.99766723777239
"Control14",75.8130747657873,-0.2587127112966,FALSE,"GSE277906",19216,40,-1.03036435847247,2.374275045092
"Control15",74.9873801888875,-0.31506035615901,FALSE,"GSE277906",19216,40,6.71173882039242,-9.58815615777961
"Control16",80.5030597772881,0.0613446285860446,FALSE,"GSE277906",19216,40,2.97601979818942,-3.7729202079562
"Control17",78.8405700364176,-0.0521081954081493,FALSE,"GSE277906",19216,40,1.52851340261159,4.74331471824722
"Control2",73.5819156388156,-0.410973081699136,FALSE,"GSE277906",19216,40,3.62302368012953,9.3891540120831
"Control3",72.609424897244,-0.477338496310199,FALSE,"GSE277906",19216,40,0.143044843220833,0.511512418730298
"Control4",86.0759268990405,0.441652246229532,FALSE,"GSE277906",19216,40,-3.19396671105212,20.5590869250653
"Control5",84.7238542091067,0.349383126518703,FALSE,"GSE277906",19216,40,-3.27042498653575,-3.16884440905929
"Control6",81.3551298080018,0.119492206191349,FALSE,"GSE277906",19216,40,1.01219805922271,-6.93487385193731
"Control7",81.1964354490551,0.108662471287223,FALSE,"GSE277906",19216,40,1.19019297153018,0.997494632142981
"Control8",71.7145888034697,-0.538404546436601,FALSE,"GSE277906",19216,40,7.24185556672903,-1.48079173036258
"Control9",78.1196514793556,-0.101305639553382,FALSE,"GSE277906",19216,40,5.52301747782049,-4.16578358978049
"PCOS1",75.7501899369375,-0.26300414314367,FALSE,"GSE277906",19216,40,8.41326717795563,-8.86925959334864
"PCOS10",78.1147064880142,-0.101643099219158,FALSE,"GSE277906",19216,40,1.6931998251851,-6.44015839009316
"PCOS11",79.7287914092554,0.00850644816113237,FALSE,"GSE277906",19216,40,0.437538042437773,11.9977081606534
"PCOS12",70.7148372905202,-0.606630310270307,FALSE,"GSE277906",19216,40,7.83906859895689,-0.9187892209573
"PCOS13",100.105833155584,1.39909122828616,FALSE,"GSE277906",19216,40,-3.93226129816319,26.9430213523252
"PCOS14",68.9433529067245,-0.727521225301152,FALSE,"GSE277906",19216,40,0.912623431411037,8.61322399759849
"PCOS15",76.1880957990699,-0.233120255453321,FALSE,"GSE277906",19216,40,4.63603453195021,2.50970673570975
"PCOS16",77.07593478853,-0.172531706766305,FALSE,"GSE277906",19216,40,7.11278323552183,-3.10730236650602
"PCOS17",73.1814923457532,-0.438299056876099,FALSE,"GSE277906",19216,40,2.55963239831532,3.85196039537063
"PCOS18",81.0614569578579,0.0994511717355202,FALSE,"GSE277906",19216,40,-7.60412622027945,7.39991739050213
"PCOS19",73.6870267337491,-0.403800014545599,FALSE,"GSE277906",19216,40,6.52731079277646,-3.34250715465393
"PCOS2",74.6926887470736,-0.335170902082261,FALSE,"GSE277906",19216,40,1.77890860548555,-4.04214601318926
"PCOS20",81.525073648932,0.131089636358861,FALSE,"GSE277906",19216,40,-0.324133338225643,0.998213976271994
"PCOS21",88.019173359607,0.574264672789559,FALSE,"GSE277906",19216,40,-2.92442219645013,6.78229014375042
"PCOS22",73.4892060217825,-0.417299838253029,FALSE,"GSE277906",19216,40,3.49595957622192,-0.233025993140394
"PCOS23",90.0545081160565,0.713161455257415,FALSE,"GSE277906",19216,40,-1.75294709012711,-9.33115334391824
"PCOS3",75.4152993530618,-0.28585798791379,FALSE,"GSE277906",19216,40,7.0172877722662,-9.07046167149778
"PCOS4",69.9210632883406,-0.660799608249428,FALSE,"GSE277906",19216,40,5.19090574999771,-5.13341519950359
"PCOS5",68.0216793075952,-0.790418739824982,FALSE,"GSE277906",19216,40,6.43828739095398,-3.71257542059926
"PCOS6",72.9172301042827,-0.456333031361959,FALSE,"GSE277906",19216,40,-0.00493671658936333,-1.88535916295938
"PCOS7",66.5422041882957,-0.891382148011654,FALSE,"GSE277906",19216,40,4.47978206509735,-3.23178213541729
"PCOS8",67.8999098481501,-0.798728619104628,FALSE,"GSE277906",19216,40,4.69390589147971,-3.05561686717314
"PCOS9",72.8462935850334,-0.461173932472689,FALSE,"GSE277906",19216,40,3.65812416576731,-6.91781974153972
