sample,detected
Control1,Control
Control10,Control
Control11,Control
Control12,Control
Control13,Control
Control14,Control
Control15,Control
Control16,Control
Control17,Control
Control2,Control
Control3,Control
Control4,Control
Control5,Control
Control6,Control
Control7,Control
Control8,Control
Control9,Control
PCOS1,PCOS
PCOS10,PCOS
PCOS11,PCOS
PCOS12,PCOS
PCOS13,PCOS
PCOS14,PCOS
PCOS15,PCOS
PCOS16,PCOS
PCOS17,PCOS
PCOS18,PCOS
PCOS19,PCOS
PCOS2,PCOS
PCOS20,PCOS
PCOS21,PCOS
PCOS22,PCOS
PCOS23,PCOS
PCOS3,PCOS
PCOS4,PCOS
PCOS5,PCOS
PCOS6,PCOS
PCOS7,PCOS
PCOS8,PCOS
PCOS9,PCOS
PCOS,PCOS
